cell,rep,seed,r2_ci_low,r2_ci_high,chi2_ci_low,chi2_ci_high,ci_reliable,n_effective,base_converged,n_items_per_group,n_raters,n_categories,thresholds,trait_slope,rater_sd,mu_focal,dif_uniform,dif_nonuniform,po_violation,conditioner_reliability,n_items_focal,conditioner,block
1,28,40360730,1.077737231102425e-05,0.005414426983006545,0.007364229287003363,3.8194868786364014,True,199,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,29,40360731,2.3828339881630367e-05,0.003651098434234948,0.017952374354039673,3.0264418910254793,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,30,40360732,0.00012454757597580993,0.01251280651750273,0.08295817769290617,8.384299935904998,True,199,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,31,40360733,0.0002101319651291239,0.019738089027124272,0.15849885104110928,15.895123423026032,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,32,40360734,1.061459725434656e-06,0.0033098641680329296,0.0007796309580824705,2.3323059563340656,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,33,40360735,0.0019376904221003212,0.023916462527591494,1.4074701560214569,17.974352791021847,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,34,40360736,0.00029593266676679634,0.01668457179128918,0.2582323416586208,12.913831293386712,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,35,40360737,8.569510859120885e-05,0.021065839977010566,0.06369139404748506,16.388577284759222,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,36,40360738,2.134352876237039e-06,0.0004280604584656886,0.0017024003844077966,0.31639618064189484,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,37,40360739,0.0002755174907449462,0.017436082480267782,0.20423459755078205,13.201895859259832,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,38,40360740,3.0046682523710557e-05,0.0009608759494299892,0.024228804217410152,0.7609876043658476,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,39,40360741,8.396885440610229e-05,0.014704453132795012,0.05660542690910248,10.124082955892716,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,40,40360742,1.1879396548186007e-05,0.007779048200438614,0.00983256190166211,6.152934185908751,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,41,40360743,1.6549011085921596e-05,0.003128172240643268,0.011821303905198005,2.248027548998952,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,42,40360744,0.0007538012972832561,0.02061853900925529,0.6268932236166957,17.044611982750112,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,43,40360745,0.00024301337539779077,0.005957375971162651,0.175473379923474,4.371028294992176,True,199,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,44,40360746,1.2269390361904451e-05,0.002972113252727652,0.009287105788329416,2.2294776551285684,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,45,40360747,0.0006884466398003426,0.023934806426558035,0.5122115655391941,17.244124787139324,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,46,40360748,2.3392392012357836e-05,0.010164231798169337,0.017394364832911013,7.851310892451209,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,47,40360749,1.4127785016221602e-06,0.0035021946745238267,0.0010212799994024366,2.54019287942497,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,48,40360750,2.130211640739968e-05,0.0048236680012560575,0.016693289981749362,3.6197354628763203,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
1,49,40360751,0.0007836369887689244,0.017817321304774716,0.6329871445051681,15.62352390824232,True,200,True,100,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,0.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
2,0,40460702,0.0029148214924927026,0.051411574304337605,0.5008404360726578,8.656710359204546,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,1.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
2,1,40460703,6.073720130429509e-05,0.013221277266897882,0.013218549059802454,2.944571083919993,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,1.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
2,2,40460704,0.0034264901613584894,0.0992198447820781,0.5156342789103588,16.473322536944885,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,1.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
2,3,40460705,0.0001117028215527487,0.03226972971750906,0.020433614173089993,5.742851511266604,True,200,True,25,3,5,"(2.0, 0.8, -0.8, -2.0)",1.0,1.5,0.0,0.0,0.0,0.0,1.0,,external,s2_cluster_stress_bootstrap
